station,valid,tmpc,dwpc,relh,sknt,drct,p01m,mslp
SEA,2024-01-10 00:53:00,5.56,1.67,76.03,19.0,230.0,0.0,1005.4
SEA,2024-01-10 01:17:00,5.0,1.11,75.94,17.0,220.0,0.0,
SEA,2024-01-10 01:53:00,5.0,0.56,72.96,13.0,220.0,0.0,1005.7
SEA,2024-01-10 02:53:00,5.0,1.11,75.94,20.0,200.0,0.0,1005.7
SEA,2024-01-10 03:33:00,4.44,0.56,75.84,13.0,200.0,0.0,
SEA,2024-01-10 03:53:00,3.89,0.56,78.86,17.0,200.0,0.0,1005.0
SEA,2024-01-10 04:53:00,4.44,0.56,75.84,14.0,200.0,0.0,1003.6
SEA,2024-01-10 05:53:00,4.44,0.56,75.84,13.0,200.0,0.0,1002.5
SEA,2024-01-10 06:53:00,4.44,1.11,78.94,13.0,220.0,0.0,1001.9
SEA,2024-01-10 07:21:00,3.33,1.11,85.35,19.0,210.0,0.0,
SEA,2024-01-10 07:53:00,2.78,0.56,85.29,11.0,220.0,0.0,1002.3
SEA,2024-01-10 08:53:00,2.78,0.0,81.93,12.0,200.0,0.0,1002.4
SEA,2024-01-10 09:53:00,2.78,0.0,81.93,10.0,220.0,0.0,1002.6
SEA,2024-01-10 10:41:00,2.22,0.56,88.73,11.0,180.0,0.25,
SEA,2024-01-10 10:53:00,2.22,0.0,85.23,10.0,190.0,0.25,1002.9
SEA,2024-01-10 11:53:00,2.22,0.56,88.73,8.0,190.0,0.0001,1002.7
SEA,2024-01-10 12:53:00,2.22,0.56,88.73,9.0,170.0,0.0,1002.7
SEA,2024-01-10 13:53:00,2.22,1.11,92.35,8.0,170.0,0.0001,1002.8
SEA,2024-01-10 14:53:00,2.22,1.11,92.35,8.0,160.0,0.0001,1003.2
SEA,2024-01-10 15:13:00,2.22,1.11,92.35,7.0,150.0,0.0,
SEA,2024-01-10 15:53:00,2.22,1.11,92.35,7.0,150.0,0.0,1003.8
SEA,2024-01-10 16:43:00,2.22,1.11,92.35,8.0,170.0,0.0,
SEA,2024-01-10 16:53:00,2.22,1.11,92.35,9.0,160.0,0.0,1004.6
SEA,2024-01-10 17:53:00,2.78,1.11,88.78,7.0,170.0,0.0,1005.3
SEA,2024-01-10 18:53:00,3.89,1.11,82.08,8.0,150.0,0.0,1005.8
SEA,2024-01-10 19:04:00,3.89,0.56,78.86,6.0,140.0,0.0,
SEA,2024-01-10 19:26:00,3.89,0.56,78.86,5.0,140.0,0.0,
SEA,2024-01-10 19:53:00,3.33,0.56,82.0,6.0,150.0,0.0,1006.0
SEA,2024-01-10 20:07:00,3.89,0.56,78.86,6.0,160.0,0.0,
SEA,2024-01-10 20:39:00,3.89,0.56,78.86,4.0,160.0,0.0,
SEA,2024-01-10 20:53:00,3.89,0.0,75.75,5.0,120.0,0.0,1006.0
SEA,2024-01-10 21:33:00,3.89,0.0,75.75,6.0,140.0,0.0,
SEA,2024-01-10 21:53:00,4.44,0.56,75.84,4.0,150.0,0.0,1006.2
SEA,2024-01-10 22:53:00,4.44,0.56,75.84,6.0,160.0,0.0,1007.0
SEA,2024-01-10 23:53:00,3.89,1.11,82.08,3.0,150.0,0.0,1007.9
SEA,2024-01-11 00:20:00,3.89,1.11,82.08,0.0,0.0,0.0,
SEA,2024-01-11 00:53:00,3.89,1.11,82.08,0.0,0.0,0.0001,1008.7
SEA,2024-01-11 01:23:00,3.89,1.67,85.42,0.0,0.0,0.25,
SEA,2024-01-11 01:47:00,3.0,2.0,93.14,4.0,180.0,0.51,
SEA,2024-01-11 01:53:00,3.33,1.67,88.83,3.0,180.0,0.51,1009.3
SEA,2024-01-11 02:41:00,2.78,1.11,88.78,5.0,170.0,0.0,
SEA,2024-01-11 02:53:00,2.22,1.11,92.35,5.0,160.0,0.0,1009.9
SEA,2024-01-11 03:18:00,2.22,1.11,92.35,5.0,160.0,0.0,
