time,member,value
2026-06-04 00:00:00,0,27.5
2026-06-04 01:00:00,0,28.0
2026-06-04 02:00:00,0,28.7
2026-06-04 03:00:00,0,29.3
2026-06-04 04:00:00,0,29.5
2026-06-04 05:00:00,0,29.4
2026-06-04 06:00:00,0,29.4
2026-06-04 07:00:00,0,29.5
2026-06-04 08:00:00,0,29.5
2026-06-04 09:00:00,0,29.5
2026-06-04 10:00:00,0,29.2
2026-06-04 11:00:00,0,28.8
2026-06-04 12:00:00,0,28.5
2026-06-04 13:00:00,0,28.4
2026-06-04 14:00:00,0,28.4
2026-06-04 15:00:00,0,28.4
2026-06-04 16:00:00,0,28.2
2026-06-04 17:00:00,0,28.0
2026-06-04 18:00:00,0,27.8
2026-06-04 19:00:00,0,27.6
2026-06-04 20:00:00,0,27.5
2026-06-04 21:00:00,0,27.4
2026-06-04 22:00:00,0,27.2
2026-06-04 23:00:00,0,27.1
2026-06-05 00:00:00,0,26.5
2026-06-05 01:00:00,0,27.6
2026-06-05 02:00:00,0,29.1
2026-06-05 03:00:00,0,30.4
2026-06-05 04:00:00,0,31.3
2026-06-05 05:00:00,0,32.0
2026-06-05 06:00:00,0,32.4
2026-06-05 07:00:00,0,32.6
2026-06-05 08:00:00,0,32.5
2026-06-05 09:00:00,0,32.0
2026-06-05 10:00:00,0,30.9
2026-06-05 11:00:00,0,29.5
2026-06-05 12:00:00,0,28.3
2026-06-05 13:00:00,0,27.6
2026-06-05 14:00:00,0,27.2
2026-06-05 15:00:00,0,26.8
2026-06-05 16:00:00,0,26.5
2026-06-05 17:00:00,0,26.3
2026-06-05 18:00:00,0,26.1
2026-06-05 19:00:00,0,25.9
2026-06-05 20:00:00,0,25.8
2026-06-05 21:00:00,0,25.8
2026-06-05 22:00:00,0,25.8
2026-06-05 23:00:00,0,25.9
2026-06-06 00:00:00,0,26.5
2026-06-06 01:00:00,0,27.9
2026-06-06 02:00:00,0,29.8
2026-06-06 03:00:00,0,31.3
2026-06-06 04:00:00,0,32.3
2026-06-06 05:00:00,0,33.1
2026-06-06 06:00:00,0,33.4
2026-06-06 07:00:00,0,33.4
2026-06-06 08:00:00,0,33.0
2026-06-06 09:00:00,0,32.3
2026-06-06 10:00:00,0,31.1
2026-06-06 11:00:00,0,29.5
2026-06-06 12:00:00,0,28.3
2026-06-06 13:00:00,0,27.7
2026-06-06 14:00:00,0,27.5
2026-06-06 15:00:00,0,27.2
2026-06-06 16:00:00,0,27.0
2026-06-06 17:00:00,0,26.7
2026-06-06 18:00:00,0,26.5
2026-06-06 19:00:00,0,26.0
2026-06-06 20:00:00,0,25.5
2026-06-06 21:00:00,0,25.2
2026-06-06 22:00:00,0,25.4
2026-06-06 23:00:00,0,25.9
2026-06-04 00:00:00,1,27.4
2026-06-04 01:00:00,1,28.0
2026-06-04 02:00:00,1,28.8
2026-06-04 03:00:00,1,29.5
2026-06-04 04:00:00,1,29.7
2026-06-04 05:00:00,1,29.6
2026-06-04 06:00:00,1,29.5
2026-06-04 07:00:00,1,29.5
2026-06-04 08:00:00,1,29.5
2026-06-04 09:00:00,1,29.4
