time,temperature_2m,wind_speed_10m,wind_direction_10m
2024-01-10 00:00:00,25.5,4.2,250
2024-01-10 01:00:00,28.1,6.7,234
2024-01-10 02:00:00,29.7,7.7,221
2024-01-10 03:00:00,31.0,7.4,227
2024-01-10 04:00:00,31.6,5.9,256
2024-01-10 05:00:00,29.4,12.6,360
2024-01-10 06:00:00,27.5,6.3,283
2024-01-10 07:00:00,27.8,6.2,216
2024-01-10 08:00:00,27.7,7.8,202
2024-01-10 09:00:00,27.6,7.2,217
2024-01-10 10:00:00,27.8,9.2,228
2024-01-10 11:00:00,27.2,7.6,265
2024-01-10 12:00:00,26.6,9.0,254
2024-01-10 13:00:00,26.4,11.3,243
2024-01-10 14:00:00,26.2,9.7,248
2024-01-10 15:00:00,26.2,11.6,254
2024-01-10 16:00:00,26.0,12.9,243
2024-01-10 17:00:00,25.8,16.4,241
2024-01-10 18:00:00,25.3,17.2,244
2024-01-10 19:00:00,24.9,14.4,257
2024-01-10 20:00:00,25.0,13.9,249
2024-01-10 21:00:00,24.7,13.3,257
2024-01-10 22:00:00,24.7,11.2,255
2024-01-10 23:00:00,24.5,15.5,248
2024-01-11 00:00:00,25.0,8.5,216
2024-01-11 01:00:00,28.0,10.1,253
2024-01-11 02:00:00,29.1,15.0,240
2024-01-11 03:00:00,30.4,12.1,233
2024-01-11 04:00:00,31.5,10.0,240
2024-01-11 05:00:00,29.4,16.6,240
2024-01-11 06:00:00,27.6,11.2,266
2024-01-11 07:00:00,27.6,14.2,246
2024-01-11 08:00:00,28.3,15.8,243
2024-01-11 09:00:00,28.1,18.0,237
2024-01-11 10:00:00,27.2,16.1,246
2024-01-11 11:00:00,26.5,14.3,245
2024-01-11 12:00:00,25.9,11.6,248
2024-01-11 13:00:00,25.0,9.8,242
2024-01-11 14:00:00,24.8,8.0,252
2024-01-11 15:00:00,24.8,7.7,259
2024-01-11 16:00:00,24.6,9.0,241
2024-01-11 17:00:00,24.5,9.7,228
2024-01-11 18:00:00,24.4,8.7,240
2024-01-11 19:00:00,24.2,10.3,245
2024-01-11 20:00:00,24.1,10.3,245
2024-01-11 21:00:00,24.1,8.4,250
2024-01-11 22:00:00,24.1,8.1,257
2024-01-11 23:00:00,24.2,9.7,243
2024-01-12 00:00:00,25.1,10.5,232
2024-01-12 01:00:00,27.2,14.2,249
2024-01-12 02:00:00,28.1,14.9,250
2024-01-12 03:00:00,29.2,13.6,253
2024-01-12 04:00:00,30.3,14.8,244
2024-01-12 05:00:00,31.0,16.1,236
2024-01-12 06:00:00,31.4,15.4,237
2024-01-12 07:00:00,31.6,16.1,241
2024-01-12 08:00:00,31.0,17.1,240
2024-01-12 09:00:00,30.0,17.6,244
2024-01-12 10:00:00,29.2,16.5,247
2024-01-12 11:00:00,27.9,14.1,251
2024-01-12 12:00:00,27.0,13.9,249
2024-01-12 13:00:00,26.5,13.7,252
2024-01-12 14:00:00,26.2,12.2,251
2024-01-12 15:00:00,25.9,11.8,250
2024-01-12 16:00:00,25.6,11.8,250
2024-01-12 17:00:00,25.4,12.2,251
2024-01-12 18:00:00,25.1,12.6,257
2024-01-12 19:00:00,25.0,13.6,258
2024-01-12 20:00:00,24.9,13.1,249
2024-01-12 21:00:00,24.9,12.2,251
2024-01-12 22:00:00,24.6,12.9,247
2024-01-12 23:00:00,24.4,12.8,248
2024-01-13 00:00:00,25.5,13.7,247
2024-01-13 01:00:00,27.5,11.1,245
2024-01-13 02:00:00,29.1,10.2,247
2024-01-13 03:00:00,30.2,9.2,249
2024-01-13 04:00:00,30.8,10.7,250
2024-01-13 05:00:00,31.8,12.2,251
2024-01-13 06:00:00,31.9,14.5,251
2024-01-13 07:00:00,31.0,16.1,246
2024-01-13 08:00:00,30.1,18.6,248
2024-01-13 09:00:00,29.2,16.7,245
2024-01-13 10:00:00,28.6,17.2,244
2024-01-13 11:00:00,27.3,16.0,247
2024-01-13 12:00:00,26.5,13.0,251
2024-01-13 13:00:00,26.2,14.7,245
2024-01-13 14:00:00,26.0,12.8,238
2024-01-13 15:00:00,25.9,12.6,239
2024-01-13 16:00:00,25.7,11.1,241
2024-01-13 17:00:00,25.6,9.2,244
2024-01-13 18:00:00,25.3,9.4,247
2024-01-13 19:00:00,24.9,7.9,254
2024-01-13 20:00:00,24.7,9.7,270
2024-01-13 21:00:00,24.6,10.4,268
2024-01-13 22:00:00,24.7,9.3,257
2024-01-13 23:00:00,24.8,8.1,249
2024-01-14 00:00:00,25.4,5.8,248
2024-01-14 01:00:00,27.2,6.2,260
2024-01-14 02:00:00,28.8,6.2,260
2024-01-14 03:00:00,30.0,3.3,229
2024-01-14 04:00:00,31.0,3.6,186
2024-01-14 05:00:00,31.6,1.9,158
2024-01-14 06:00:00,32.0,3.4,342
2024-01-14 07:00:00,31.7,9.0,5
