time,wave_height,wave_period
2026-06-01 00:00:00,1.4,10.3
2026-06-01 01:00:00,1.4,10.25
2026-06-01 02:00:00,1.38,10.25
2026-06-01 03:00:00,1.38,10.25
2026-06-01 04:00:00,1.4,10.35
2026-06-01 05:00:00,1.4,10.45
2026-06-01 06:00:00,1.42,10.5
2026-06-01 07:00:00,1.38,10.35
2026-06-01 08:00:00,1.34,10.1
2026-06-01 09:00:00,1.3,9.9
2026-06-01 10:00:00,1.32,9.9
2026-06-01 11:00:00,1.32,9.95
2026-06-01 12:00:00,1.34,9.95
2026-06-01 13:00:00,1.32,9.9
2026-06-01 14:00:00,1.28,9.8
2026-06-01 15:00:00,1.26,9.75
2026-06-01 16:00:00,1.26,9.85
2026-06-01 17:00:00,1.26,9.95
2026-06-01 18:00:00,1.26,10.05
2026-06-01 19:00:00,1.26,10.05
2026-06-01 20:00:00,1.28,10.0
2026-06-01 21:00:00,1.28,9.95
2026-06-01 22:00:00,1.28,9.85
2026-06-01 23:00:00,1.3,9.7
2026-06-02 00:00:00,1.3,9.6
2026-06-02 01:00:00,1.3,9.55
2026-06-02 02:00:00,1.3,9.55
2026-06-02 03:00:00,1.3,9.55
2026-06-02 04:00:00,1.34,9.65
2026-06-02 05:00:00,1.36,9.85
2026-06-02 06:00:00,1.4,9.9
2026-06-02 07:00:00,1.38,9.8
2026-06-02 08:00:00,1.34,9.6
2026-06-02 09:00:00,1.32,9.45
2026-06-02 10:00:00,1.32,9.35
2026-06-02 11:00:00,1.32,9.25
2026-06-02 12:00:00,1.32,9.25
2026-06-02 13:00:00,1.36,9.3
2026-06-02 14:00:00,1.4,9.45
2026-06-02 15:00:00,1.44,9.55
2026-06-02 16:00:00,1.44,9.65
2026-06-02 17:00:00,1.44,9.7
2026-06-02 18:00:00,1.44,9.75
2026-06-02 19:00:00,1.44,9.7
2026-06-02 20:00:00,1.44,9.65
2026-06-02 21:00:00,1.44,9.65
2026-06-02 22:00:00,1.46,9.75
2026-06-02 23:00:00,1.5,9.9
2026-06-03 00:00:00,1.52,10.05
2026-06-03 01:00:00,1.58,10.25
2026-06-03 02:00:00,1.64,10.45
2026-06-03 03:00:00,1.7,10.6
2026-06-03 04:00:00,1.66,10.6
2026-06-03 05:00:00,1.62,10.5
2026-06-03 06:00:00,1.58,10.4
2026-06-03 07:00:00,1.58,10.35
2026-06-03 08:00:00,1.58,10.35
2026-06-03 09:00:00,1.58,10.3
2026-06-03 10:00:00,1.58,10.25
2026-06-03 11:00:00,1.58,10.2
2026-06-03 12:00:00,1.58,10.2
2026-06-03 13:00:00,1.58,10.2
2026-06-03 14:00:00,1.6,10.25
2026-06-03 15:00:00,1.6,10.25
2026-06-03 16:00:00,1.62,10.25
2026-06-03 17:00:00,1.62,10.3
2026-06-03 18:00:00,1.64,10.3
2026-06-03 19:00:00,1.64,10.3
2026-06-03 20:00:00,1.66,10.3
2026-06-03 21:00:00,1.66,10.3
2026-06-03 22:00:00,1.64,10.2
2026-06-03 23:00:00,1.64,10.1
2026-06-04 00:00:00,1.62,10.05
2026-06-04 01:00:00,1.66,10.15
2026-06-04 02:00:00,1.7,10.3
2026-06-04 03:00:00,1.74,10.35
2026-06-04 04:00:00,1.68,10.25
2026-06-04 05:00:00,1.64,10.05
2026-06-04 06:00:00,1.58,9.9
2026-06-04 07:00:00,1.6,9.75
2026-06-04 08:00:00,1.6,9.65
2026-06-04 09:00:00,1.62,9.55
2026-06-04 10:00:00,1.62,9.45
2026-06-04 11:00:00,1.62,9.35
2026-06-04 12:00:00,1.62,9.25
2026-06-04 13:00:00,1.62,9.2
2026-06-04 14:00:00,1.62,9.15
2026-06-04 15:00:00,1.62,9.15
2026-06-04 16:00:00,1.6,9.25
2026-06-04 17:00:00,1.6,9.35
2026-06-04 18:00:00,1.58,9.45
2026-06-04 19:00:00,1.58,9.45
2026-06-04 20:00:00,1.58,9.4
2026-06-04 21:00:00,1.58,9.35
2026-06-04 22:00:00,1.62,9.25
2026-06-04 23:00:00,1.66,9.15
2026-06-05 00:00:00,1.7,9.1
2026-06-05 01:00:00,1.72,9.1
2026-06-05 02:00:00,1.76,9.1
2026-06-05 03:00:00,1.78,9.15
2026-06-05 04:00:00,1.82,9.25
2026-06-05 05:00:00,1.84,9.35
2026-06-05 06:00:00,1.88,9.4
2026-06-05 07:00:00,1.88,9.4
2026-06-05 08:00:00,1.9,9.4
2026-06-05 09:00:00,1.9,9.35
2026-06-05 10:00:00,1.9,9.25
2026-06-05 11:00:00,1.88,9.15
2026-06-05 12:00:00,1.88,9.1
2026-06-05 13:00:00,1.9,9.15
2026-06-05 14:00:00,1.94,9.25
2026-06-05 15:00:00,1.96,9.35
2026-06-05 16:00:00,1.96,9.4
2026-06-05 17:00:00,1.94,9.45
2026-06-05 18:00:00,1.94,9.45
2026-06-05 19:00:00,1.92,9.4
2026-06-05 20:00:00,1.92,9.35
2026-06-05 21:00:00,1.9,9.25
2026-06-05 22:00:00,1.88,9.1
2026-06-05 23:00:00,1.86,8.95
2026-06-06 00:00:00,1.84,8.8
2026-06-06 01:00:00,1.82,8.7
2026-06-06 02:00:00,1.8,8.65
2026-06-06 03:00:00,1.78,8.55
2026-06-06 04:00:00,1.76,8.45
2026-06-06 05:00:00,1.72,8.35
2026-06-06 06:00:00,1.7,8.3
2026-06-06 07:00:00,1.72,8.25
2026-06-06 08:00:00,1.74,8.25
2026-06-06 09:00:00,1.76,8.25
2026-06-06 10:00:00,1.72,8.2
2026-06-06 11:00:00,1.68,8.15
2026-06-06 12:00:00,1.64,8.05
2026-06-06 13:00:00,1.62,7.95
2026-06-06 14:00:00,1.6,7.85
2026-06-06 15:00:00,1.58,7.75
2026-06-06 16:00:00,1.6,7.7
2026-06-06 17:00:00,1.64,7.7
2026-06-06 18:00:00,1.66,7.7
2026-06-06 19:00:00,1.66,7.65
2026-06-06 20:00:00,1.64,7.55
2026-06-06 21:00:00,1.64,7.5
2026-06-06 22:00:00,1.64,7.4
2026-06-06 23:00:00,1.62,7.35
2026-06-07 00:00:00,1.62,7.3
2026-06-07 01:00:00,1.6,7.3
2026-06-07 02:00:00,1.6,7.3
2026-06-07 03:00:00,1.58,7.35
2026-06-07 04:00:00,1.56,7.4
2026-06-07 05:00:00,1.54,7.45
2026-06-07 06:00:00,1.52,7.45
2026-06-07 07:00:00,1.5,7.45
2026-06-07 08:00:00,1.48,7.45
2026-06-07 09:00:00,1.46,7.4
2026-06-07 10:00:00,1.46,7.35
2026-06-07 11:00:00,1.46,7.35
2026-06-07 12:00:00,1.46,7.3
2026-06-07 13:00:00,1.48,7.3
2026-06-07 14:00:00,1.52,7.3
2026-06-07 15:00:00,1.54,7.3
2026-06-07 16:00:00,1.54,7.25
2026-06-07 17:00:00,1.54,7.2
2026-06-07 18:00:00,1.54,7.15
2026-06-07 19:00:00,1.54,7.15
2026-06-07 20:00:00,1.54,7.1
2026-06-07 21:00:00,1.54,7.1
2026-06-07 22:00:00,1.54,7.1
2026-06-07 23:00:00,1.56,7.05
2026-06-08 00:00:00,1.56,7.05
2026-06-08 01:00:00,1.56,7.05
2026-06-08 02:00:00,1.56,7.0
2026-06-08 03:00:00,1.56,7.0
2026-06-08 04:00:00,1.56,7.05
2026-06-08 05:00:00,1.54,7.1
2026-06-08 06:00:00,1.54,7.15
2026-06-08 07:00:00,1.54,7.2
2026-06-08 08:00:00,1.52,7.2
2026-06-08 09:00:00,1.52,7.25
2026-06-08 10:00:00,1.52,7.35
2026-06-08 11:00:00,1.5,7.45
2026-06-08 12:00:00,1.5,7.5
2026-06-08 13:00:00,1.5,7.5
2026-06-08 14:00:00,1.5,7.5
2026-06-08 15:00:00,1.5,7.5
2026-06-08 16:00:00,1.52,7.45
2026-06-08 17:00:00,1.52,7.4
2026-06-08 18:00:00,1.54,7.35
2026-06-08 19:00:00,1.56,7.3
2026-06-08 20:00:00,1.56,7.3
2026-06-08 21:00:00,1.58,7.3
2026-06-08 22:00:00,1.58,7.3
2026-06-08 23:00:00,1.58,7.3
