x_m,depth_m,hs_m,tp_s,dir_deg
0.0,30.0,0.01538,2.0685,155.568
200.0,30.0,0.22676,1.6806,266.759
400.0,30.0,0.3074,1.8645,265.878
600.0,30.0,0.36156,1.8645,265.303
800.0,30.0,0.406,2.0685,264.933
1000.0,30.0,0.44529,2.0685,264.722
1200.0,30.0,0.4801,2.2949,264.865
1400.0,30.0,0.5126,2.2949,264.939
1600.0,30.0,0.54317,2.2949,265.052
1800.0,30.0,0.5703,2.546,265.212
2000.0,30.0,0.59635,2.546,265.454
2200.0,30.0,0.62229,2.546,265.705
2400.0,30.0,0.64588,2.546,265.896
2600.0,30.0,0.66775,2.8245,266.126
2800.0,30.0,0.68928,2.8245,266.332
3000.0,30.0,0.70932,2.8245,266.589
3200.0,30.0,0.72897,2.8245,266.691
3400.0,30.0,0.74799,2.8245,266.884
3600.0,30.0,0.76605,2.8245,266.999
3800.0,30.0,0.78421,3.1336,267.168
4000.0,30.0,0.80038,3.1336,267.268
4200.0,30.0,0.8162,3.1336,267.454
4400.0,30.0,0.8322,3.1336,267.607
4600.0,30.0,0.84728,3.1336,267.727
4800.0,30.0,0.86201,3.1336,267.777
5000.0,30.0,0.87634,3.1336,267.894
5200.0,30.0,0.88916,3.1336,267.868
5400.0,30.0,0.90266,3.1336,267.991
5600.0,30.0,0.91596,3.4765,268.051
5800.0,30.0,0.92895,3.4765,268.04
6000.0,30.0,0.94294,3.4765,268.172
6200.0,30.0,0.95586,3.4765,268.218
6400.0,30.0,0.96964,3.4765,268.279
6600.0,30.0,0.98147,3.4765,268.283
6800.0,30.0,0.99216,3.4765,268.303
7000.0,30.0,1.00334,3.4765,268.291
7200.0,30.0,1.01393,3.4765,268.403
7400.0,30.0,1.02467,3.4765,268.507
7600.0,30.0,1.03603,3.4765,268.527
7800.0,30.0,1.04711,3.4765,268.534
8000.0,30.0,1.05817,3.8568,268.569
8200.0,30.0,1.06738,3.8568,268.612
8400.0,30.0,1.07717,3.8568,268.668
8600.0,30.0,1.08649,3.8568,268.739
8800.0,30.0,1.09667,3.8568,268.807
9000.0,30.0,1.10638,3.8568,268.82
9200.0,30.0,1.11487,3.8568,268.802
9400.0,30.0,1.12281,3.8568,268.822
9600.0,30.0,1.13276,3.8568,268.859
9800.0,30.0,1.14226,3.8568,268.848
10000.0,30.0,1.15103,3.8568,268.894
10200.0,30.0,1.16038,3.8568,268.978
10400.0,30.0,1.16904,3.8568,268.97
10600.0,30.0,1.17703,3.8568,268.988
10800.0,30.0,1.1844,3.8568,268.987
11000.0,30.0,1.19237,3.8568,269.011
11200.0,30.0,1.20046,3.8568,269.038
11400.0,30.0,1.20733,3.8568,269.009
11600.0,30.0,1.21433,3.8568,268.987
11800.0,30.0,1.22131,4.2789,269.003
12000.0,30.0,1.22916,4.2789,269.053
12200.0,30.0,1.23734,4.2789,269.149
12400.0,30.0,1.24497,4.2789,269.239
12600.0,30.0,1.25175,4.2789,269.23
12800.0,30.0,1.25891,4.2789,269.223
13000.0,30.0,1.265,4.2789,269.249
13200.0,30.0,1.27175,4.2789,269.296
13400.0,30.0,1.27825,4.2789,269.33
13600.0,30.0,1.28567,4.2789,269.352
13800.0,30.0,1.2926,4.2789,269.384
14000.0,30.0,1.29788,4.2789,269.366
14200.0,30.0,1.30326,4.2789,269.379
14400.0,30.0,1.31007,4.2789,269.395
14600.0,30.0,1.31625,4.2789,269.389
14800.0,30.0,1.32201,4.2789,269.382
15000.0,30.0,1.32842,4.2789,269.378
15200.0,30.0,1.3342,4.2789,269.402
15400.0,30.0,1.33949,4.2789,269.429
15600.0,30.0,1.34589,4.2789,269.474
15800.0,30.0,1.35233,4.2789,269.526
16000.0,30.0,1.35902,4.2789,269.558
16200.0,30.0,1.36486,4.2789,269.482
16400.0,30.0,1.37117,4.2789,269.464
16600.0,30.0,1.37736,4.2789,269.486
16800.0,30.0,1.38311,4.2789,269.491
17000.0,30.0,1.38905,4.2789,269.496
17200.0,30.0,1.39478,4.2789,269.528
17400.0,30.0,1.40001,4.747,269.577
17600.0,30.0,1.40529,4.747,269.64
17800.0,30.0,1.41004,4.747,269.695
18000.0,30.0,1.41426,4.747,269.72
18200.0,30.0,1.41916,4.747,269.743
18400.0,30.0,1.42447,4.747,269.767
18600.0,30.0,1.43103,4.747,269.779
18800.0,30.0,1.4376,4.747,269.762
19000.0,30.0,1.44431,4.747,269.773
19200.0,30.0,1.44952,4.747,269.78
19400.0,30.0,1.45435,4.747,269.832
19600.0,30.0,1.45997,4.747,269.866
19800.0,30.0,1.46535,4.747,269.873
20000.0,30.0,1.47118,4.747,269.888
20200.0,30.0,1.47615,4.747,269.889
20400.0,30.0,1.48005,4.747,269.921
20600.0,30.0,1.48414,4.747,269.902
20800.0,30.0,1.48837,4.747,269.868
21000.0,30.0,1.49317,4.747,269.851
21200.0,30.0,1.49793,4.747,269.853
21400.0,30.0,1.50205,4.747,269.843
21600.0,30.0,1.50676,4.747,269.842
21800.0,30.0,1.51113,4.747,269.855
22000.0,30.0,1.51531,4.747,269.862
22200.0,30.0,1.51957,4.747,269.85
22400.0,30.0,1.52396,4.747,269.847
22600.0,30.0,1.52884,4.747,269.849
22800.0,30.0,1.53358,4.747,269.849
23000.0,30.0,1.53885,4.747,269.875
23200.0,30.0,1.54409,4.747,269.858
23400.0,30.0,1.54833,4.747,269.847
23600.0,30.0,1.55232,4.747,269.843
23800.0,30.0,1.55668,4.747,269.835
24000.0,30.0,1.56144,4.747,269.871
24200.0,30.0,1.56557,4.747,269.88
24400.0,30.0,1.56951,4.747,269.902
24600.0,30.0,1.57333,4.747,269.939
24800.0,30.0,1.57653,4.747,269.953
25000.0,30.0,1.57986,4.747,269.941
25200.0,30.0,1.58347,4.747,269.949
25400.0,30.0,1.58791,4.747,269.943
